"month","avg_wt","sum_wt","nobs"
1992-07-01,1889.38923943811,141088252.065801,74674
1992-08-01,1898.85795511101,141142111.803401,74330
1992-09-01,1893.02633710099,141151615.799598,74564
1992-10-01,1885.83329001396,141465784.250397,75015
1992-11-01,1871.91572750597,141758306.1283,75729
1992-12-01,1885.3538207181,142087805.344599,75364
1993-01-01,1889.66061643704,141945636.524901,75117
1993-02-01,1893.85936020806,141611439.800198,74774
1993-03-01,1923.13308368674,141382974.913398,73517
1993-04-01,1907.21169480784,141787839.027099,74343
1993-05-01,1924.7194263046,142111658.8412,73835
1993-06-01,1932.67525775318,142173389.986097,73563
1993-07-01,1934.62136457333,142295270.607098,73552
1993-08-01,1934.47700946855,142543872.9197,73686
1993-09-01,1925.01025128588,142441133.543899,73995
1993-10-01,1939.89340260241,142675279.974602,73548
1993-11-01,1942.33572847606,142823830.786302,73532
1993-12-01,1963.21795684449,140805918.300801,71722
1994-01-01,1924.95817287117,145062922.949398,75359
1994-02-01,1950.47997091303,145332213.112701,74511
1994-03-01,1944.1226622628,145387325.051999,74783
1994-04-01,1916.87078673946,145551832.5787,75932
1994-05-01,1942.61925753606,145682845.980402,74993
1994-06-01,1956.92226231803,145982486.9244,74598
1994-07-01,1965.84290733614,146123069.145203,74331
1994-08-01,1975.74699375573,146086732.718298,73940
1994-09-01,1972.61983231431,146348665.359399,74190
1994-10-01,1942.40362436084,146472772.505802,75408
1994-11-01,1948.28963528636,146807520.598098,75352
1994-12-01,1950.61403299822,146883187.298799,75301
1995-01-01,1948.16488941987,147123464.284099,75519
1995-02-01,1973.75844672329,147244353.884004,74601
1995-03-01,1983.09440436669,147506527.985603,74382
1995-04-01,1973.54745902106,147572011.2483,74775
1995-05-01,NA,NA,NA
1995-06-01,29255.8410115385,3042607.4652,104
1995-07-01,6228.18709507042,7959623.10749999,1278
1995-08-01,NA,NA,NA
1995-09-01,2031.0351873355,144640170.866097,71215
1995-10-01,2043.12268023275,148351137.8117,72610
1995-11-01,2051.84164833532,148524609.5564,72386
1995-12-01,2334.77663688032,148498798.435499,63603
1996-01-01,2304.11017191884,148119722.401802,64285
1996-02-01,2311.39665326116,148592756.6482,64287
1996-03-01,2295.30477224833,148669185.403297,64771
1996-04-01,2285.80927673983,148950189.900198,65163
1996-05-01,2291.33530552349,148801606.076001,64941
1996-06-01,2262.82977791586,149330925.534002,65993
1996-07-01,2281.72074690828,149185747.595104,65383
1996-08-01,2258.19803663743,149585296.1449,66241
1996-09-01,2252.65489520745,149657380.618002,66436
1996-10-01,2237.85749548804,149587346.428402,66844
1996-11-01,2218.06762182755,149987950.655601,67621
1996-12-01,2250.94615722021,149642900.532,66480
1997-01-01,2279.85883741981,150317932.7276,65933
1997-02-01,2313.66523295211,150529373.721097,65061
1997-03-01,2299.02822728933,150531172.209996,65476
1997-04-01,2285.64533043458,150704024.862204,65935
1997-05-01,2284.56039030098,150819823.2865,66017
1997-06-01,2295.97083171802,151049625.047897,65789
1997-07-01,2311.6858853538,150969270.114801,65307
1997-08-01,2267.6107535106,151179341.325798,66669
1997-09-01,2279.11504730354,151422124.6278,66439
1997-10-01,2265.16367081424,151575692.196205,66916
1997-11-01,2280.35404965207,151714235.277402,66531
1997-12-01,2298.52621243945,151479772.978397,65903
1998-01-01,2297.31864847515,151714923.545299,66040
1998-02-01,2340.32791347302,151800689.4516,64863
1998-03-01,2350.13727102067,152267743.9267,64791
