"quarter","eu_2state","ue_2state","ur","mu","pi_eu_3state","pi_ue_3state","v","gdpc1"
1970-04-01,10.6430358755743,87.9575790100763,4.76666666666667,8.46666666666667,NA,NA,3205.65656371163,5308.164
1970-07-01,11.2773560491579,87.1605632945831,5.16666666666667,8.86666666666667,NA,NA,2958.38810754701,5357.077
1970-10-01,11.2089880335408,83.6915415549467,5.83333333333333,9.26666666666667,NA,NA,2722.02093072114,5299.672
1971-01-01,10.3585533012607,82.4880697204782,5.93333333333333,10.5,NA,NA,2665.90468708047,5443.619
1971-04-01,10.4522129647414,82.3428558049465,5.9,11.2333333333333,NA,NA,2746.31754239464,5473.059
1971-07-01,10.880640924235,83.9232194352887,6.03333333333333,11.6333333333333,NA,NA,2799.04677524802,5518.072
1971-10-01,10.877882516664,83.4012226127241,5.93333333333333,12.0333333333333,NA,NA,2881.39603338192,5531.032
1972-01-01,10.2752622063202,83.1150248148077,5.76666666666667,12.2666666666667,NA,NA,3134.59429981654,5632.649
1972-04-01,10.3851647068155,83.9887909094615,5.7,12.3666666666667,NA,NA,3284.78039407325,5760.47
1972-07-01,10.8904856389258,85.7740292021837,5.56666666666667,11.9,NA,NA,3499.0773730179,5814.854
1972-10-01,9.74093236909235,86.1867613309852,5.36666666666667,11.5,NA,NA,3890.55786620201,5912.22
1973-01-01,10.3818556693057,87.1320026831731,4.93333333333333,10.7,NA,NA,4246.49357682136,6058.544
1973-04-01,10.8157734318164,89.6184142649681,4.93333333333333,9.9,NA,NA,4237.32428830656,6124.506
1973-07-01,10.2774645027098,88.8642392393391,4.8,9.6,NA,NA,4259.54195740799,6092.301
1973-10-01,10.6863651676985,87.5187602392969,4.76666666666667,9.86666666666667,NA,NA,4191.78437209328,6150.131
1974-01-01,10.9821963588238,88.5507159355436,5.13333333333333,9.6,NA,NA,4009.42023092808,6097.258
1974-04-01,11.2118039258164,87.0399575048428,5.2,9.7,NA,NA,4046.48624360501,6111.751
